               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.024986,           0.0085736,          0.00025331,             0.96211,             0.93952,             0.96732,             0.73898,            0.018907,           0.0057872,          0.00019255,             0.00736,             0.00736,             0.00736
                  82,            0.024739,           0.0085331,          0.00025577,             0.94455,              0.9336,              0.9634,             0.71796,            0.019695,           0.0061572,          0.00021309,            0.007327,            0.007327,            0.007327
                  83,            0.025306,           0.0087089,          0.00023379,             0.95455,             0.91949,               0.965,             0.72838,            0.018954,           0.0059991,          0.00019715,            0.007294,            0.007294,            0.007294
                  84,            0.025934,           0.0090047,          0.00020221,             0.95187,              0.9172,             0.96315,             0.71526,            0.019688,            0.006202,          0.00017769,            0.007261,            0.007261,            0.007261
                  85,            0.025329,           0.0087066,          0.00021035,             0.95285,             0.92551,             0.96539,             0.72262,             0.01929,           0.0060771,           0.0001898,            0.007228,            0.007228,            0.007228
                  86,             0.02496,           0.0089468,          0.00019403,             0.95999,             0.93391,              0.9694,             0.73118,            0.019252,           0.0059212,          0.00022652,            0.007195,            0.007195,            0.007195
                  87,            0.024705,           0.0086848,          0.00023744,             0.95118,             0.93799,             0.96717,             0.73064,            0.019211,            0.005884,          0.00019206,            0.007162,            0.007162,            0.007162
                  88,            0.024067,           0.0084543,          0.00027507,             0.95103,             0.94236,             0.96925,             0.73563,            0.018578,           0.0057222,          0.00019711,            0.007129,            0.007129,            0.007129
                  89,            0.024898,           0.0085843,          0.00023142,             0.94434,             0.94249,              0.9669,             0.73779,            0.018415,           0.0057817,          0.00017472,            0.007096,            0.007096,            0.007096
                  90,            0.024604,            0.008409,          0.00019773,             0.95092,              0.9377,             0.96683,             0.73619,            0.018525,           0.0058012,          0.00019413,            0.007063,            0.007063,            0.007063
                  91,             0.02515,           0.0088221,          0.00021918,             0.93593,             0.93803,             0.96721,             0.72828,            0.019106,            0.006054,          0.00020695,             0.00703,             0.00703,             0.00703
                  92,            0.024435,           0.0086963,          0.00021297,             0.94211,             0.93864,             0.96477,             0.71919,            0.019616,           0.0061232,          0.00020863,            0.006997,            0.006997,            0.006997
                  93,            0.024937,           0.0087064,          0.00019192,             0.93873,             0.94705,             0.96904,             0.73866,            0.018497,           0.0058858,          0.00015958,            0.006964,            0.006964,            0.006964
                  94,            0.024561,            0.008425,          0.00019493,             0.96081,             0.93927,             0.96902,             0.73632,            0.018818,           0.0058056,          0.00019938,            0.006931,            0.006931,            0.006931
